Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,YearRated,Metascore Rating
tt4629266,4,2017-08-26,Born in China,https://www.imdb.com/title/tt4629266/,movie,7.2,79,2016,Documentary,2506,2016-08-05,Chuan Lu,2017,5.7
tt4630562,4,2017-04-18,The Fate of the Furious,https://www.imdb.com/title/tt4630562/,movie,6.7,136,2017,"Action, Crime, Thriller",159181,2017-04-04,F. Gary Gray,2017,5.6
tt4643432,8,2016-06-21,Dans les forêts de Sibérie,https://www.imdb.com/title/tt4643432/,movie,6.9,105,2016,"Adventure, Drama",655,2016-06-08,Safy Nebbou,2016,NA
tt4645330,6,2017-05-13,Denial,https://www.imdb.com/title/tt4645330/,movie,6.6,109,2016,"Biography, Drama",13546,2016-09-11,Mick Jackson,2017,6.3
tt4645368,7,2016-10-05,Juste la fin du monde,https://www.imdb.com/title/tt4645368/,movie,6.9,97,2016,Drama,15456,2016-05-19,Xavier Dolan,2016,4.8
tt4649466,4,2017-10-18,Kingsman: The Golden Circle,https://www.imdb.com/title/tt4649466/,movie,6.8,141,2017,"Action, Adventure, Comedy",175123,2017-09-20,Matthew Vaughn,2017,4.4
tt4669986,7,2017-02-25,Loving,https://www.imdb.com/title/tt4669986/,movie,7,123,2016,"Biography, Drama, Romance",24742,2016-05-16,Jeff Nichols,2017,7.9
tt4675926,6,2017-07-29,De standhaftige,https://www.imdb.com/title/tt4675926/,movie,6.6,105,2016,"Drama, Romance, War",220,2016-04-07,Lisa Ohlin,2017,NA
tt4680196,4,2016-11-26,Planetarium,https://www.imdb.com/title/tt4680196/,movie,4.7,105,2016,"Drama, Fantasy, Mystery, Romance, Thriller",1959,2016-09-08,Rebecca Zlotowski,2016,4.4
tt4682786,6,2016-12-25,Collateral Beauty,https://www.imdb.com/title/tt4682786/,movie,6.8,97,2016,"Drama, Romance",68081,2016-12-12,David Frankel,2016,2.3
tt4682788,3,2018-04-27,Loving Pablo,https://www.imdb.com/title/tt4682788/,movie,6,123,2017,"Biography, Crime, Drama",564,2017-09-06,Fernando León de Aranoa,2018,4.4
tt4693612,5,2017-04-12,Un profil pour deux,https://www.imdb.com/title/tt4693612/,movie,6.4,99,2017,"Comedy, Romance",1488,2017-01-19,Stéphane Robelin,2017,NA
tt4694544,2,2017-06-24,Once Upon a Time in Venice,https://www.imdb.com/title/tt4694544/,movie,5.3,94,2017,"Action, Comedy, Thriller",11392,2017-06-09,Mark Cullen,2017,2.8
tt4699388,6,2016-05-04,Un homme à la hauteur,https://www.imdb.com/title/tt4699388/,movie,6.3,98,2016,"Comedy, Romance",4972,2016-04-25,Laurent Tirard,2016,4.8
tt4701724,4,2018-02-04,Early Man,https://www.imdb.com/title/tt4701724/,movie,6.3,89,2018,"Animation, Adventure, Comedy, Family, Fantasy",4558,2018-01-20,Nick Park,2018,6.8
tt4714782,5,2016-12-14,Personal Shopper,https://www.imdb.com/title/tt4714782/,movie,6.2,105,2016,"Drama, Horror, Mystery, Thriller",24671,2016-05-17,Olivier Assayas,2016,7.7
tt4720654,6,2016-06-13,La nouvelle vie de Paul Sneijder,https://www.imdb.com/title/tt4720654/,movie,6.6,114,2016,Drama,302,2016-06-08,Thomas Vincent,2016,NA
